,Opening,Games_Played,Games_Won,Win_Rate
0,van't kruijs opening,13161,5767.0,0.43818858749335154
1,scandinavian defense: mieses-kotroc variation,11614,6487.0,0.5585500258308937
2,modern defense,10334,4966.0,0.4805496419585833
3,horwitz defense,9408,4891.0,0.5198767006802721
4,sicilian defense,8881,3660.0,0.41211575273054835
5,caro-kann defense,8404,3764.0,0.4478819609709662
6,french defense: knight variation,8385,3892.0,0.46416219439475254
7,scandinavian defense,7899,3682.0,0.4661349537916192
8,owen defense,7466,3867.0,0.5179480310742031
9,sicilian defense: bowdler attack,7221,3027.0,0.4191940174491068
10,philidor defense #3,6183,3436.0,0.5557172893417435
11,queen's pawn game #2,5997,2911.0,0.48540937135234286
12,hungarian opening,5824,2864.0,0.49175824175824173
13,queen's pawn,5807,2927.0,0.5040468400206647
14,queen's pawn game: chigorin variation,5499,2827.0,0.5140934715402801
15,indian game,5398,2431.0,0.45035198221563544
16,scotch game,4963,2778.0,0.5597420914769293
17,sicilian defense: old sicilian,4939,2271.0,0.4598096780724843
18,philidor defense #2,4926,2508.0,0.5091352009744214
19,queen's pawn game: zukertort variation,4821,2605.0,0.5403443269031322
20,king's pawn game: leonardis variation,4772,2173.0,0.45536462699077956
21,bishop's opening,4663,2489.0,0.5337765387089857
22,mieses opening,4466,2041.0,0.45700850873264665
23,french defense: normal variation,4379,2412.0,0.550810687371546
24,pirc defense #4,4341,2043.0,0.47062888735314445
25,queen's pawn game,4297,1992.0,0.4635792413311613
26,old benoni defense,4158,1897.0,0.4562289562289562
27,king's pawn game: wayward queen attack,4017,1949.0,0.4851879512073687
28,queen's pawn game: mason attack,3963,2112.0,0.5329295987887964
29,italian game: anti-fried liver defense,3575,1964.0,0.5493706293706294
30,sicilian defense: mcdonnell attack,3493,1616.0,0.46263956484397367
31,french defense: exchange variation,3240,1515.0,0.4675925925925926
32,english defense #2,3231,1714.0,0.5304859176725472
33,french defense #2,3105,1308.0,0.421256038647343
34,queen's gambit refused: marshall defense,3064,1758.0,0.5737597911227154
35,bird opening,3062,1507.0,0.492161985630307
36,queen's gambit declined,2905,1508.0,0.519104991394148
37,ruy lopez: steinitz defense,2840,1494.0,0.526056338028169
38,scandinavian defense: main line,2758,1271.0,0.4608411892675852
39,four knights game: italian variation,2757,1312.0,0.47587957925281105
40,robatsch (modern) defense,2745,1275.0,0.4644808743169399
41,bishop's opening: berlin defense,2609,1321.0,0.5063242621694136
42,sicilian defense: smith-morra gambit #2,2606,1072.0,0.4113584036838066
43,philidor defense,2540,1543.0,0.6074803149606299
44,sicilian defense: alapin variation,2509,1244.0,0.4958150657632523
45,scandinavian defense: modern variation #2,2460,1136.0,0.46178861788617886
46,sicilian defense: french variation,2459,1058.0,0.4302562017080114
47,italian game,2453,1412.0,0.575621687729311
48,sicilian defense: closed variation,2277,1182.0,0.5191040843214756
49,saragossa opening,2266,1063.0,0.46910856134157103
50,nimzo-larsen attack,2237,1200.0,0.5364327223960662
51,three knights opening,2170,1025.0,0.47235023041474655
52,polish opening,2168,1130.0,0.5212177121771218
53,bird opening: dutch variation,2150,1113.0,0.5176744186046511
54,queen's gambit accepted: old variation,2144,1295.0,0.6040111940298507
55,french defense: la bourdonnais variation,2103,1023.0,0.4864479315263909
56,rat defense: small center defense,1999,1119.0,0.5597798899449725
57,king's pawn game: busch-gass gambit,1948,1113.0,0.5713552361396304
58,nimzo-larsen attack: classical variation,1940,1010.0,0.520618556701031
59,king's pawn game: mcconnell defense,1938,1083.0,0.5588235294117647
60,zukertort opening: tennison gambit,1932,910.0,0.47101449275362317
61,french defense: king's indian attack,1921,898.0,0.4674648620510151
62,queen's gambit accepted,1911,1112.0,0.5818942961800104
63,van geet opening,1909,885.0,0.463593504452593
64,english opening: king's english variation,1899,950.0,0.5002632964718273
65,zukertort opening: sicilian invitation,1881,962.0,0.5114300903774588
66,russian game: three knights game,1844,1030.0,0.5585683297180043
67,slav defense #2,1843,919.0,0.49864351600651113
68,french defense: queen's knight,1780,853.0,0.47921348314606743
69,zukertort opening: queen's gambit invitation,1691,903.0,0.5340035481963336
70,king's pawn game,1688,542.0,0.32109004739336494
71,russian game: urusov gambit,1648,923.0,0.5600728155339806
72,giuoco piano,1643,746.0,0.4540474741326841
73,pirc defense #5,1641,832.0,0.5070079219987812
74,englund gambit,1629,856.0,0.525475751995089
75,old indian defense,1614,834.0,0.516728624535316
76,caro-kann defense: advance variation,1602,721.0,0.4500624219725343
